reader,attribute,book_count,positive_count,negative_count,neutral_count,observed_count,intent_count,preference_rate,exposure_rate,intent_rate,evidence_level
you,reading level-grade 12,12,8,1,3,9,2,0.8888888888888888,0.75,0.16666666666666666,preference_evidence
you,young adult fiction,12,9,0,3,9,2,1.0,0.75,0.16666666666666666,preference_evidence
you,assassins,11,7,0,4,7,3,1.0,0.6363636363636364,0.2727272727272727,preference_evidence
you,dark,11,1,1,9,2,8,0.5,0.18181818181818182,0.7272727272727273,preference_evidence
you,historical fiction,11,3,1,7,4,5,0.75,0.36363636363636365,0.45454545454545453,preference_evidence
you,history,11,4,0,7,4,6,1.0,0.36363636363636365,0.5454545454545454,preference_evidence
you,long now manual for civilization,11,6,0,5,6,5,1.0,0.5454545454545454,0.45454545454545453,preference_evidence
you,man-woman relationships,11,6,1,4,7,4,0.8571428571428571,0.6363636363636364,0.36363636363636365,preference_evidence
you,reading level-grade 10,11,8,1,2,9,2,0.8888888888888888,0.8181818181818182,0.18181818181818182,preference_evidence
you,reading level-grade 9,11,8,1,2,9,2,0.8888888888888888,0.8181818181818182,0.18181818181818182,preference_evidence
you,women,11,5,1,5,6,1,0.8333333333333334,0.5454545454545454,0.09090909090909091,preference_evidence
you,fiction literary,10,7,0,3,7,2,1.0,0.7,0.2,preference_evidence
you,good and evil,10,5,0,5,5,4,1.0,0.5,0.4,preference_evidence
you,historical,10,3,0,7,3,4,1.0,0.3,0.4,preference_evidence
you,horror,10,3,1,6,4,6,0.75,0.4,0.6,preference_evidence
you,imaginary wars and battles,10,6,0,4,6,3,1.0,0.6,0.3,preference_evidence
you,suspense,10,6,0,4,6,0,1.0,0.6,0.0,preference_evidence
you,fiction historical general,9,6,0,3,6,2,1.0,0.6666666666666666,0.2222222222222222,preference_evidence
you,fiction suspense,9,5,0,4,5,0,1.0,0.5555555555555556,0.0,preference_evidence
you,adventure,8,5,0,3,5,2,1.0,0.625,0.25,preference_evidence
you,amerikanisches englisch,8,5,0,3,5,2,1.0,0.625,0.25,preference_evidence
you,crime,8,6,0,2,6,0,1.0,0.75,0.0,preference_evidence
you,fairies,8,6,0,2,6,1,1.0,0.75,0.125,preference_evidence
you,ficci n,8,5,0,3,5,2,1.0,0.625,0.25,preference_evidence
you,fiction family life,8,2,0,6,2,2,1.0,0.25,0.25,preference_evidence
you,fiction historical,8,5,0,3,5,2,1.0,0.625,0.25,preference_evidence
you,fiction psychological,8,3,1,4,4,1,0.75,0.5,0.125,preference_evidence
you,fiction thrillers general,8,3,0,5,3,2,1.0,0.375,0.25,preference_evidence
you,high fantasy,8,3,0,5,3,3,1.0,0.375,0.375,preference_evidence
you,paranormal,8,1,0,7,1,7,1.0,0.125,0.875,preference_evidence
you,series throne of glass,8,7,0,1,7,0,1.0,0.875,0.0,preference_evidence
you,vampires,8,1,0,7,1,6,1.0,0.125,0.75,preference_evidence
you,action and adventure,7,3,0,4,3,3,1.0,0.42857142857142855,0.42857142857142855,preference_evidence
you,american science fiction,7,3,0,4,3,4,1.0,0.42857142857142855,0.5714285714285714,preference_evidence
you,award hugo award novel,7,4,0,3,4,3,1.0,0.5714285714285714,0.42857142857142855,preference_evidence
you,families,7,4,0,3,4,1,1.0,0.5714285714285714,0.14285714285714285,preference_evidence
you,fiction science fiction action and adventure,7,4,0,3,4,2,1.0,0.5714285714285714,0.2857142857142857,preference_evidence
you,fiction women,7,4,0,3,4,2,1.0,0.5714285714285714,0.2857142857142857,preference_evidence
you,hugo award winner,7,4,0,3,4,3,1.0,0.5714285714285714,0.42857142857142855,preference_evidence
you,investigation,7,4,0,3,4,0,1.0,0.5714285714285714,0.0,preference_evidence
you,novela,7,7,0,0,7,0,1.0,1.0,0.0,preference_evidence
you,smut,7,1,1,5,2,4,0.5,0.2857142857142857,0.5714285714285714,preference_evidence
you,spicy,7,1,1,5,2,4,0.5,0.2857142857142857,0.5714285714285714,preference_evidence
you,contemporary romance,6,1,0,5,1,2,1.0,0.16666666666666666,0.3333333333333333,preference_evidence
you,courts and courtiers,6,6,0,0,6,0,1.0,1.0,0.0,preference_evidence
you,criminals fiction,6,5,0,1,5,0,1.0,0.8333333333333334,0.0,preference_evidence
you,epic,6,2,0,4,2,2,1.0,0.3333333333333333,0.3333333333333333,preference_evidence
you,fiction fantasy historical,6,2,0,4,2,3,1.0,0.3333333333333333,0.5,preference_evidence
you,fiction romance fantasy,6,3,0,3,3,2,1.0,0.5,0.3333333333333333,preference_evidence
you,interplanetary voyages,6,1,0,5,1,5,1.0,0.16666666666666666,0.8333333333333334,preference_evidence
you,kings queens rulers,6,3,0,3,3,2,1.0,0.5,0.3333333333333333,preference_evidence
you,lgbt,6,1,0,5,1,5,1.0,0.16666666666666666,0.8333333333333334,preference_evidence
you,love,6,4,0,2,4,2,1.0,0.6666666666666666,0.3333333333333333,preference_evidence
you,psychological fiction,6,3,1,2,4,1,0.75,0.6666666666666666,0.16666666666666666,preference_evidence
you,queer,6,1,0,5,1,5,1.0,0.16666666666666666,0.8333333333333334,preference_evidence
you,reading level-grade 8,6,4,0,2,4,2,1.0,0.6666666666666666,0.3333333333333333,preference_evidence
you,survival,6,3,0,3,3,1,1.0,0.5,0.16666666666666666,preference_evidence
you,suspense fiction,6,4,0,2,4,1,1.0,0.6666666666666666,0.16666666666666666,preference_evidence
you,young adult,6,2,0,4,2,3,1.0,0.3333333333333333,0.5,preference_evidence
you,american fantasy fiction,5,1,0,4,1,4,1.0,0.2,0.8,preference_evidence
you,children,5,3,0,2,3,1,1.0,0.6,0.2,preference_evidence
you,classics,5,3,1,1,4,0,0.75,0.8,0.0,preference_evidence
you,collectionid alpinechallenge,5,5,0,0,5,0,1.0,1.0,0.0,preference_evidence
you,cozy,5,1,0,4,1,1,1.0,0.2,0.2,preference_evidence
you,end of the world,5,2,0,3,2,2,1.0,0.4,0.4,preference_evidence
you,english fiction,5,5,0,0,5,0,1.0,1.0,0.0,preference_evidence
you,fairies fiction,5,4,0,1,4,1,1.0,0.8,0.2,preference_evidence
you,fairy tales,5,2,0,3,2,1,1.0,0.4,0.2,preference_evidence
you,fantasy and magic,5,4,0,1,4,0,1.0,0.8,0.0,preference_evidence
you,fiction action and adventure,5,1,0,4,1,3,1.0,0.2,0.6,preference_evidence
you,fiction dystopian,5,3,0,2,3,1,1.0,0.6,0.2,preference_evidence
you,fiction family life general,5,1,0,4,1,0,1.0,0.2,0.0,preference_evidence
you,fiction mystery and detective general,5,5,0,0,5,0,1.0,1.0,0.0,preference_evidence
you,fiction thrillers domestic,5,3,0,2,3,0,1.0,0.6,0.0,preference_evidence
you,life on other planets,5,1,0,4,1,4,1.0,0.2,0.8,preference_evidence
you,love stories,5,2,1,2,3,1,0.6666666666666666,0.6,0.2,preference_evidence
you,mystery fiction,5,4,0,1,4,0,1.0,0.8,0.0,preference_evidence
you,mystery thriller,5,4,0,1,4,0,1.0,0.8,0.0,preference_evidence
you,revenge,5,3,0,2,3,2,1.0,0.6,0.4,preference_evidence
you,series a court of thorns and roses,5,5,0,0,5,0,1.0,1.0,0.0,preference_evidence
you,spanish language materials,5,4,0,1,4,1,1.0,0.8,0.2,preference_evidence
you,thrillers,5,2,0,3,2,0,1.0,0.4,0.0,preference_evidence
you,triangles interpersonal relations,5,4,0,1,4,1,1.0,0.8,0.2,preference_evidence
you,young adult fiction fantasy dark fantasy,5,2,1,2,3,2,0.6666666666666666,0.6,0.4,preference_evidence
you,young women fiction,5,4,0,1,4,1,1.0,0.8,0.2,preference_evidence
you,adaptations,4,2,0,2,2,0,1.0,0.5,0.0,preference_evidence
you,adventure and adventurers fiction,4,3,0,1,4,0,1.0,1.0,0.0,preference_evidence
you,american fiction,4,4,0,0,4,0,1.0,1.0,0.0,preference_evidence
you,award nebula award novel,4,1,0,3,1,3,1.0,0.25,0.75,preference_evidence
you,chang pian xiao shuo,4,4,0,0,4,0,1.0,1.0,0.0,preference_evidence
you,chick lit,4,1,0,3,1,0,1.0,0.25,0.0,preference_evidence
you,courts and courtiers fiction,4,4,0,0,4,0,1.0,1.0,0.0,preference_evidence
you,cozy fantasy,4,1,0,3,1,3,1.0,0.25,0.75,preference_evidence
you,crimes against,4,1,0,3,1,1,1.0,0.25,0.25,preference_evidence
you,death,4,3,0,1,3,1,1.0,0.75,0.25,preference_evidence
you,demonology,4,2,0,2,2,2,1.0,0.5,0.5,preference_evidence
you,drama,4,3,0,1,3,0,1.0,0.75,0.0,preference_evidence
you,england fiction,4,3,0,1,3,0,1.0,0.75,0.0,preference_evidence
you,extraterrestrial beings,4,2,0,2,2,1,1.0,0.5,0.25,preference_evidence
you,fantasy - general,4,0,0,4,0,2,,0.0,0.5,intent_or_neutral
you,femmes,4,3,0,1,3,1,1.0,0.75,0.25,preference_evidence
you,fiction contemporary women,4,1,0,3,1,1,1.0,0.25,0.25,preference_evidence
you,fiction fantasy romance,4,2,0,2,2,2,1.0,0.5,0.5,preference_evidence
you,fiction occult and supernatural,4,2,0,2,2,1,1.0,0.5,0.25,preference_evidence
you,fiction thrillers,4,1,0,3,1,2,1.0,0.25,0.5,preference_evidence
you,fiction thrillers psychological,4,3,0,1,3,0,1.0,0.75,0.0,preference_evidence
you,form novel,4,3,0,1,3,0,1.0,0.75,0.0,preference_evidence
you,friendship fiction,4,3,0,1,3,1,1.0,0.75,0.25,preference_evidence
you,healers,4,2,0,2,2,2,1.0,0.5,0.5,preference_evidence
you,humor,4,2,0,2,2,1,1.0,0.5,0.25,preference_evidence
you,islands,4,3,0,1,3,0,1.0,0.75,0.0,preference_evidence
you,juvenile works,4,2,0,2,2,0,1.0,0.5,0.0,preference_evidence
you,kings and rulers,4,1,0,3,1,1,1.0,0.25,0.25,preference_evidence
you,lesbian,4,1,0,3,1,3,1.0,0.25,0.75,preference_evidence
you,lgbtq,4,1,0,3,1,3,1.0,0.25,0.75,preference_evidence
you,lgbtq science fiction and fantasy,4,2,0,2,2,2,1.0,0.5,0.5,preference_evidence
you,love fiction,4,4,0,0,4,0,1.0,1.0,0.0,preference_evidence
you,man-woman relationships fiction,4,3,0,1,3,0,1.0,0.75,0.0,preference_evidence
you,missing persons,4,2,0,2,2,0,1.0,0.5,0.0,preference_evidence
you,mothers and daughters,4,1,0,3,1,2,1.0,0.25,0.5,preference_evidence
you,open library staff picks,4,3,0,1,3,1,1.0,0.75,0.25,preference_evidence
you,orphans,4,2,0,2,2,2,1.0,0.5,0.5,preference_evidence
you,psychological thriller,4,3,0,1,3,0,1.0,0.75,0.0,preference_evidence
you,queens,4,3,0,1,3,0,1.0,0.75,0.0,preference_evidence
you,reading level-grade 7,4,3,0,1,3,1,1.0,0.75,0.25,preference_evidence
you,roman,4,4,0,0,4,0,1.0,1.0,0.0,preference_evidence
you,science fiction and fantasy,4,4,0,0,4,0,1.0,1.0,0.0,preference_evidence
you,series the-housemaid,4,3,0,1,3,0,1.0,0.75,0.0,preference_evidence
you,slow burn,4,3,0,1,3,1,1.0,0.75,0.25,preference_evidence
you,social life and customs,4,3,0,1,3,1,1.0,0.75,0.25,preference_evidence
you,social themes,4,2,0,2,2,2,1.0,0.5,0.5,preference_evidence
you,supernatural,4,2,0,2,2,2,1.0,0.5,0.5,preference_evidence
you,witches,4,2,0,2,2,2,1.0,0.5,0.5,preference_evidence
you,wizards,4,2,0,2,2,1,1.0,0.5,0.25,preference_evidence
you,women authors,4,2,0,2,2,2,1.0,0.5,0.5,preference_evidence
you,world war 1939-1945,4,3,0,1,3,1,1.0,0.75,0.25,preference_evidence
you,world war 1939-1945 fiction,4,2,0,2,2,2,1.0,0.5,0.5,preference_evidence
you,action,3,0,0,3,1,1,,0.3333333333333333,0.3333333333333333,exposure_only
you,african american,3,1,1,1,2,0,0.5,0.6666666666666666,0.0,preference_evidence
you,african americans fiction,3,1,1,1,2,0,0.5,0.6666666666666666,0.0,preference_evidence
you,american fiction fictional works by one author,3,2,1,0,3,0,0.6666666666666666,1.0,0.0,preference_evidence
you,astronauts,3,1,0,2,1,1,1.0,0.3333333333333333,0.3333333333333333,preference_evidence
you,award newbery award,3,1,0,2,1,0,1.0,0.3333333333333333,0.0,preference_evidence
you,british and irish fiction fictional works by one author,3,3,0,0,3,0,1.0,1.0,0.0,preference_evidence
you,brothers and sisters,3,2,0,1,2,1,1.0,0.6666666666666666,0.3333333333333333,preference_evidence
you,comic books strips,3,2,0,1,2,0,1.0,0.6666666666666666,0.0,preference_evidence
you,coming of age,3,2,0,1,2,0,1.0,0.6666666666666666,0.0,preference_evidence
you,court,3,2,0,1,2,0,1.0,0.6666666666666666,0.0,preference_evidence
you,domestic fiction,3,1,0,2,1,1,1.0,0.3333333333333333,0.3333333333333333,preference_evidence
you,dragons,3,0,0,3,0,3,,0.0,1.0,intent_or_neutral
you,dual pov,3,1,0,2,1,2,1.0,0.3333333333333333,0.6666666666666666,preference_evidence
you,dystopian,3,1,0,2,1,1,1.0,0.3333333333333333,0.3333333333333333,preference_evidence
you,dystopias,3,2,0,1,2,0,1.0,0.6666666666666666,0.0,preference_evidence
you,english fantasy fiction,3,1,0,2,1,0,1.0,0.3333333333333333,0.0,preference_evidence
you,enqu tes,3,1,0,2,1,1,1.0,0.3333333333333333,0.3333333333333333,preference_evidence
you,family life,3,1,0,2,1,0,1.0,0.3333333333333333,0.0,preference_evidence
you,fantastic fiction,3,1,0,2,1,0,1.0,0.3333333333333333,0.0,preference_evidence
you,fiction - fantasy,3,0,0,3,0,2,,0.0,0.6666666666666666,intent_or_neutral
you,fiction biographical,3,2,0,1,2,1,1.0,0.6666666666666666,0.3333333333333333,preference_evidence
you,fiction coming of age,3,3,0,0,3,0,1.0,1.0,0.0,preference_evidence
you,fiction cultural heritage,3,2,0,1,2,1,1.0,0.6666666666666666,0.3333333333333333,preference_evidence
you,fiction fantasy action and adventure,3,2,0,1,2,1,1.0,0.6666666666666666,0.3333333333333333,preference_evidence
you,fiction fantasy contemporary,3,3,0,0,3,0,1.0,1.0,0.0,preference_evidence
you,fiction fantasy dark fantasy,3,0,0,3,0,3,,0.0,1.0,intent_or_neutral
you,fiction fantasy paranormal,3,2,0,1,2,0,1.0,0.6666666666666666,0.0,preference_evidence
you,fiction fantasy urban,3,2,0,1,2,1,1.0,0.6666666666666666,0.3333333333333333,preference_evidence
you,fiction humorous,3,0,0,3,0,1,,0.0,0.3333333333333333,intent_or_neutral
you,fiction humorous general,3,0,0,3,0,1,,0.0,0.3333333333333333,intent_or_neutral
you,fiction romance contemporary,3,1,0,2,1,2,1.0,0.3333333333333333,0.6666666666666666,preference_evidence
you,fiction war and military,3,1,0,2,1,2,1.0,0.3333333333333333,0.6666666666666666,preference_evidence
you,fictional works,3,2,0,1,2,1,1.0,0.6666666666666666,0.3333333333333333,preference_evidence
you,fin du monde,3,1,0,2,1,1,1.0,0.3333333333333333,0.3333333333333333,preference_evidence
you,forced proximity,3,0,0,3,0,3,,0.0,1.0,intent_or_neutral
you,friendship,3,3,0,0,3,0,1.0,1.0,0.0,preference_evidence
you,genre high fantasy,3,2,0,1,2,1,1.0,0.6666666666666666,0.3333333333333333,preference_evidence
you,genre science fiction,3,2,0,1,2,1,1.0,0.6666666666666666,0.3333333333333333,preference_evidence
you,greek mythology,3,0,0,3,0,3,,0.0,1.0,intent_or_neutral
you,histoire,3,3,0,0,3,0,1.0,1.0,0.0,preference_evidence
you,history and criticism,3,3,0,0,3,0,1.0,1.0,0.0,preference_evidence
you,homecoming,3,0,0,3,0,1,,0.0,0.3333333333333333,intent_or_neutral
you,homicide,3,1,0,2,1,1,1.0,0.3333333333333333,0.3333333333333333,preference_evidence
you,interpersonal relations,3,3,0,0,3,0,1.0,1.0,0.0,preference_evidence
you,interpersonal relations fiction,3,3,0,0,3,0,1.0,1.0,0.0,preference_evidence
you,juvenile audience,3,1,0,2,1,1,1.0,0.3333333333333333,0.3333333333333333,preference_evidence
you,juvenile fiction fantasy and magic,3,1,0,2,1,0,1.0,0.3333333333333333,0.0,preference_evidence
you,kings queens rulers etc fiction,3,3,0,0,3,0,1.0,1.0,0.0,preference_evidence
you,libraries,3,2,0,1,2,1,1.0,0.6666666666666666,0.3333333333333333,preference_evidence
you,m res et filles,3,1,0,2,1,1,1.0,0.3333333333333333,0.3333333333333333,preference_evidence
you,magia,3,2,0,1,2,1,1.0,0.6666666666666666,0.3333333333333333,preference_evidence
you,magic fiction,3,1,0,2,1,2,1.0,0.3333333333333333,0.6666666666666666,preference_evidence
you,manners and customs,3,2,0,1,2,1,1.0,0.6666666666666666,0.3333333333333333,preference_evidence
you,mujeres,3,2,0,1,2,1,1.0,0.6666666666666666,0.3333333333333333,preference_evidence
you,mythology,3,1,0,2,1,2,1.0,0.3333333333333333,0.6666666666666666,preference_evidence
you,new adult,3,0,0,3,0,3,,0.0,1.0,intent_or_neutral
you,new york n y fiction,3,2,0,1,2,1,1.0,0.6666666666666666,0.3333333333333333,preference_evidence
you,nonfiction,3,1,0,2,1,2,1.0,0.3333333333333333,0.6666666666666666,preference_evidence
you,open syllabus project,3,2,1,0,3,0,0.6666666666666666,1.0,0.0,preference_evidence
you,princesses,3,0,0,3,0,1,,0.0,0.3333333333333333,intent_or_neutral
you,psychological aspects,3,2,0,1,2,1,1.0,0.6666666666666666,0.3333333333333333,preference_evidence
you,psychology,3,1,1,1,2,1,0.5,0.6666666666666666,0.3333333333333333,preference_evidence
you,puzzles,3,2,0,1,2,1,1.0,0.6666666666666666,0.3333333333333333,preference_evidence
you,resistance to government,3,2,0,1,2,1,1.0,0.6666666666666666,0.3333333333333333,preference_evidence
you,retellings,3,0,0,3,0,2,,0.0,0.6666666666666666,intent_or_neutral
you,robots,3,1,0,2,1,2,1.0,0.3333333333333333,0.6666666666666666,preference_evidence
you,romans nouvelles etc pour la jeunesse,3,2,0,1,2,0,1.0,0.6666666666666666,0.0,preference_evidence
you,romantsy,3,3,0,0,3,0,1.0,1.0,0.0,preference_evidence
you,schools,3,3,0,0,3,0,1.0,1.0,0.0,preference_evidence
you,sci-fi,3,1,0,2,1,1,1.0,0.3333333333333333,0.3333333333333333,preference_evidence
you,science fiction fantasy,3,1,0,2,2,1,1.0,0.6666666666666666,0.3333333333333333,preference_evidence
you,science-fiction,3,2,0,1,2,0,1.0,0.6666666666666666,0.0,preference_evidence
you,secrecy,3,1,0,2,1,1,1.0,0.3333333333333333,0.3333333333333333,preference_evidence
you,serie the empyrean,3,3,0,0,3,0,1.0,1.0,0.0,preference_evidence
you,shamans,3,1,0,2,1,1,1.0,0.3333333333333333,0.3333333333333333,preference_evidence
you,social classes,3,2,0,1,2,0,1.0,0.6666666666666666,0.0,preference_evidence
you,social conditions,3,1,0,2,1,2,1.0,0.3333333333333333,0.6666666666666666,preference_evidence
you,space and time,3,2,0,1,2,0,1.0,0.6666666666666666,0.0,preference_evidence
you,space colonies,3,2,0,1,2,1,1.0,0.6666666666666666,0.3333333333333333,preference_evidence
you,stalker,3,1,1,1,2,0,0.5,0.6666666666666666,0.0,preference_evidence
you,storytelling,3,0,0,3,0,3,,0.0,1.0,intent_or_neutral
you,suspense and thriller,3,3,0,0,3,0,1.0,1.0,0.0,preference_evidence
you,teen fiction,3,3,0,0,3,0,1.0,1.0,0.0,preference_evidence
you,time travel,3,2,0,1,2,0,1.0,0.6666666666666666,0.0,preference_evidence
you,vampires fiction,3,0,0,3,0,2,,0.0,0.6666666666666666,intent_or_neutral
you,war stories,3,1,0,2,1,1,1.0,0.3333333333333333,0.3333333333333333,preference_evidence
you,wizards in fiction,3,2,0,1,2,0,1.0,0.6666666666666666,0.0,preference_evidence
you,ya,3,2,0,1,2,0,1.0,0.6666666666666666,0.0,preference_evidence
you,young women,3,2,0,1,2,1,1.0,0.6666666666666666,0.3333333333333333,preference_evidence
you,adventure fiction,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,adventure stories,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,african american women,2,0,1,1,1,0,0.0,0.5,0.0,sparse
you,african americans,2,0,1,1,1,0,0.0,0.5,0.0,sparse
you,allegories,2,1,1,0,2,0,0.5,1.0,0.0,sparse
you,american,2,1,1,0,2,0,0.5,1.0,0.0,sparse
you,americans,2,0,0,2,0,1,,0.0,0.5,sparse
you,androids,2,1,0,1,1,1,1.0,0.5,0.5,sparse
you,angels,2,1,0,1,1,1,1.0,0.5,0.5,sparse
you,angst,2,0,0,2,0,2,,0.0,1.0,sparse
you,aristocracy,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,belletristische darstellung,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,biblioth ques,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,blessing and cursing,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,bondage,2,1,0,1,1,1,1.0,0.5,0.5,sparse
you,chinese fiction,2,1,0,1,1,0,1.0,0.5,0.0,sparse
you,clergy,2,1,0,1,1,1,1.0,0.5,0.5,sparse
you,collectionid bannedbooks,2,1,0,1,1,1,1.0,0.5,0.5,sparse
you,collectionid conroechallenge,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,college students,2,1,0,1,1,1,1.0,0.5,0.5,sparse
you,comics and graphic novels fantasy,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,conspiracies,2,1,0,1,1,1,1.0,0.5,0.5,sparse
you,contemporary women,2,0,0,2,0,1,,0.0,0.5,sparse
you,crime fiction,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,cultural heritage,2,1,0,1,1,0,1.0,0.5,0.0,sparse
you,damar imaginary place fiction,2,0,0,2,0,0,,0.0,0.0,sparse
you,decision making,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,demons,2,0,0,2,0,2,,0.0,1.0,sparse
you,detective,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,detective and mystery stories,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,drama dramatic works by one author,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,dwellings,2,0,0,2,0,1,,0.0,0.5,sparse
you,dystopia,2,1,0,1,1,0,1.0,0.5,0.0,sparse
you,england in fiction,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,english historical fiction,2,0,0,2,0,0,,0.0,0.0,sparse
you,english language,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,fae,2,0,0,2,0,2,,0.0,1.0,sparse
you,familie,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,familles,2,1,0,1,1,0,1.0,0.5,0.0,sparse
you,family,2,1,0,1,1,0,1.0,0.5,0.0,sparse
you,family secrets,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,fantas a,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,fantastischer roman,2,1,0,1,1,1,1.0,0.5,0.5,sparse
you,fathers and daughters,2,1,0,1,1,0,1.0,0.5,0.0,sparse
you,female assassins in fiction,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,feminism,2,1,0,1,1,1,1.0,0.5,0.5,sparse
you,ficci n juvenil,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,ficcion,2,0,0,2,0,1,,0.0,0.5,sparse
you,fiction - general,2,0,0,2,0,2,,0.0,1.0,sparse
you,fiction alternative history,2,1,0,1,1,1,1.0,0.5,0.5,sparse
you,fiction asian american,2,1,0,1,1,0,1.0,0.5,0.0,sparse
you,fiction classics,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,fiction fantasy humorous,2,1,0,1,1,1,1.0,0.5,0.5,sparse
you,fiction fantasy romantic,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,fiction historical world war ii,2,1,0,1,1,1,1.0,0.5,0.5,sparse
you,fiction jewish,2,1,0,1,1,1,1.0,0.5,0.5,sparse
you,fiction media tie-in,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,fiction romance historical,2,0,0,2,0,1,,0.0,0.5,sparse
you,fiction romance paranormal,2,1,0,1,1,1,1.0,0.5,0.5,sparse
you,fiction science fiction hard science fiction,2,1,0,1,1,0,1.0,0.5,0.0,sparse
you,franchise red rising,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,frau,2,1,0,1,1,1,1.0,0.5,0.5,sparse
you,friends to lovers,2,1,0,1,1,1,1.0,0.5,0.5,sparse
you,future life,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,garion fictitious character fiction,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,genre litrpg,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,genre science fantasy,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,german language materials,2,2,0,0,2,0,1.0,1.0,0.0,sparse
you,gods,2,1,0,1,1,1,1.0,0.5,0.5,sparse
you,gods and goddesses,2,0,0,2,0,2,,0.0,1.0,sparse
you,gothic,2,0,0,2,0,2,,0.0,1.0,sparse
