reader,selected_k,interest_number,interest_rank,book_index,source_book_id,title,author,user_rating,interest_similarity
sarah,2,2,6,1179,https://www.goodreads.com/review/show/3776459250?utm_medium=api&utm_source=rss,Paper Towns,John  Green,5,0.7148811221122742
sarah,2,2,7,1199,https://www.goodreads.com/review/show/3776456097?utm_medium=api&utm_source=rss,"Holes (Holes, #1)",Louis Sachar,5,0.7123020887374878
sarah,2,2,8,1173,https://www.goodreads.com/review/show/3776461348?utm_medium=api&utm_source=rss,Life of Pi,Yann Martel,5,0.7114477157592773
sarah,2,2,9,1302,https://www.goodreads.com/review/show/3222332537?utm_medium=api&utm_source=rss,The Time Traveler's Wife,Audrey Niffenegger,4,0.7113994359970093
sarah,2,2,10,1281,https://www.goodreads.com/review/show/3222334451?utm_medium=api&utm_source=rss,"The Hobbit, Part One",J.R.R. Tolkien,4,0.7109156847000122
shannon,2,1,1,1149,https://www.goodreads.com/review/show/5712158506?utm_medium=api&utm_source=rss,Pretty Girls,Karin Slaughter,4,0.7806057929992676
shannon,2,1,2,921,https://www.goodreads.com/review/show/6018626368?utm_medium=api&utm_source=rss,All Good People Here,Ashley Flowers,4,0.7719470858573914
shannon,2,1,3,1528,https://www.goodreads.com/review/show/3356599066?utm_medium=api&utm_source=rss,Little Secrets,Jennifer Hillier,4,0.7630442380905151
shannon,2,1,4,267,https://www.goodreads.com/review/show/8640070517?utm_medium=api&utm_source=rss,Finders Keepers,Natalie Barelli,5,0.7596181631088257
shannon,2,1,5,1494,https://www.goodreads.com/review/show/3725030587?utm_medium=api&utm_source=rss,Then She Was Gone,Lisa Jewell,4,0.7577323913574219
shannon,2,1,6,1341,https://www.goodreads.com/review/show/4810438092?utm_medium=api&utm_source=rss,The Perfect Stranger,Megan Miranda,4,0.7557592391967773
shannon,2,1,7,1812,https://www.goodreads.com/review/show/495936885?utm_medium=api&utm_source=rss,Safe Haven,Nicholas Sparks,5,0.7417094707489014
shannon,2,1,8,1678,https://www.goodreads.com/review/show/2423481263?utm_medium=api&utm_source=rss,Behind Closed Doors,B.A. Paris,4,0.7383551597595215
shannon,2,1,9,1242,https://www.goodreads.com/review/show/5267965144?utm_medium=api&utm_source=rss,Twenty Years Later,Charlie Donlea,4,0.733807384967804
shannon,2,1,10,1364,https://www.goodreads.com/review/show/4760936018?utm_medium=api&utm_source=rss,The Last One Home,Victoria Helen Stone,4,0.7337338924407959
shannon,2,2,1,1396,https://www.goodreads.com/review/show/4435957566?utm_medium=api&utm_source=rss,"Fortuity (Transcend, #3)",Jewel E. Ann,4,0.7492450475692749
shannon,2,2,2,1813,https://www.goodreads.com/review/show/495936789?utm_medium=api&utm_source=rss,The Choice,Nicholas Sparks,4,0.7484697103500366
shannon,2,2,3,850,https://www.goodreads.com/review/show/5216716825?utm_medium=api&utm_source=rss,The Soulmate,Sally Hepworth,4,0.7369555234909058
shannon,2,2,4,1844,https://www.goodreads.com/review/show/452444259?utm_medium=api&utm_source=rss,The Best of Me,Nicholas Sparks,4,0.7267681360244751
shannon,2,2,5,1139,https://www.goodreads.com/review/show/5835860271?utm_medium=api&utm_source=rss,One True Loves,Taylor Jenkins Reid,4,0.7254754304885864
shannon,2,2,6,7,https://www.goodreads.com/review/show/8442198250?utm_medium=api&utm_source=rss,Someone Else's Husband,Kimberly McCreight,4,0.7211651802062988
shannon,2,2,7,406,https://www.goodreads.com/review/show/8519457059?utm_medium=api&utm_source=rss,Brighter than Before,Courtney Walsh,5,0.7149197459220886
shannon,2,2,8,1362,https://www.goodreads.com/review/show/4766683412?utm_medium=api&utm_source=rss,June First,Jennifer Hartmann,5,0.7092363834381104
shannon,2,2,9,1759,https://www.goodreads.com/review/show/752291756?utm_medium=api&utm_source=rss,"The Stranger (Just One Night, #1.1)",Kyra Davis,4,0.7076113820075989
shannon,2,2,10,44,https://www.goodreads.com/review/show/8905694016?utm_medium=api&utm_source=rss,"Promise Me Sunshine (Hearts of New York, #2)",Cara Bastone,5,0.7056287527084351
